Timestamp,Equity,Drawdown,DrawdownPercent,ActivePositions
2025-11-25T11:00:00.000Z,199835.04,164.96,0.0008,1
2025-11-25T12:00:00.000Z,199863.85,136.15,0.0007,1
2025-11-25T13:00:00.000Z,199893.45,106.55,0.0005,1
2025-11-25T14:00:00.000Z,199922.57,77.43,0.0004,1
2025-11-25T15:00:00.000Z,199950.96,49.04,0.0002,1
2025-11-25T16:00:00.000Z,199980.24,19.76,0.0001,1
2025-11-25T17:00:00.000Z,200008.85,0.00,0.0000,1
2025-11-25T18:00:00.000Z,200038.25,0.00,0.0000,1
2025-11-25T19:00:00.000Z,200067.11,0.00,0.0000,1
2025-11-25T20:00:00.000Z,200096.17,0.00,0.0000,1
2025-11-25T21:00:00.000Z,200124.83,0.00,0.0000,1
2025-11-25T22:00:00.000Z,200154.37,0.00,0.0000,1
2025-11-25T23:00:00.000Z,200182.52,0.00,0.0000,1
2025-11-26T00:00:00.000Z,200210.41,0.00,0.0000,1
2025-11-26T01:00:00.000Z,200239.87,0.00,0.0000,1
2025-11-26T02:00:00.000Z,200269.06,0.00,0.0000,1
2025-11-26T03:00:00.000Z,200297.51,0.00,0.0000,1
2025-11-26T04:00:00.000Z,200326.54,0.00,0.0000,1
2025-11-26T05:00:00.000Z,200355.18,0.00,0.0000,1
2025-11-26T06:00:00.000Z,200383.48,0.00,0.0000,1
2025-11-26T07:00:00.000Z,200411.41,0.00,0.0000,1
2025-11-26T08:00:00.000Z,200440.97,0.00,0.0000,1
2025-11-26T09:00:00.000Z,200469.43,0.00,0.0000,1
2025-11-26T10:00:00.000Z,200498.97,0.00,0.0000,1
2025-11-26T11:00:00.000Z,200528.29,0.00,0.0000,1
2025-11-26T12:00:00.000Z,200556.62,0.00,0.0000,1
2025-11-26T13:00:00.000Z,200584.72,0.00,0.0000,1
2025-11-26T14:00:00.000Z,200612.49,0.00,0.0000,1
2025-11-26T15:00:00.000Z,200641.83,0.00,0.0000,1
2025-11-26T16:00:00.000Z,200669.50,0.00,0.0000,1
2025-11-26T17:00:00.000Z,200698.04,0.00,0.0000,1
2025-11-26T18:00:00.000Z,200727.50,0.00,0.0000,1
2025-11-26T19:00:00.000Z,200755.83,0.00,0.0000,1
2025-11-26T20:00:00.000Z,200785.09,0.00,0.0000,1
2025-11-26T21:00:00.000Z,200814.32,0.00,0.0000,1
2025-11-26T22:00:00.000Z,200842.88,0.00,0.0000,1
2025-11-26T23:00:00.000Z,200872.15,0.00,0.0000,1
2025-11-27T00:00:00.000Z,200900.37,0.00,0.0000,1
2025-11-27T01:00:00.000Z,200929.88,0.00,0.0000,1
2025-11-27T02:00:00.000Z,200958.79,0.00,0.0000,1
